case_name,large_nsd_12,large_nsd_10,large_nsd_11,large_nsd_13,large_nsd_17,small_nsd_8,small_nsd_2,small_nsd_3,small_nsd_5,small_nsd_7,vessel_cldice_1,vessel_cldice_9,vessel_cldice_15,vessel_cldice_20,vessel_cldice_21,nonpdac_nsd_24,nonpdac_nsd_25,pdac_nsd_23,tubular_cldice_6,tubular_cldice_16
BDMAP_O0000064,90.16533300303631,93.98014807300117,94.89291598023064,64.37709256253929,88.54368932038834,nan,87.17948717948718,80.55555555555556,66.96253182975627,88.0359939347237,100.0,100.0,84.34089000839631,69.51912154486935,95.38461538461539,nan,nan,44.44444444444445,29.19197455180324,34.66282437672898
BDMAP_O0000028,97.78533764957379,91.53258770218685,88.21228990203494,44.24581005586592,95.1165466399625,nan,0.0,42.10526315789474,1.5748031496062995,31.12817039211259,100.0,86.95652173913044,nan,41.88163884673749,78.68852459016394,nan,nan,100.0,18.908059560387613,nan
BDMAP_O0000258,95.46597616189904,84.27448428480086,99.69549459704342,86.56071378781543,90.485920757538,0.0,0.0,94.54545454545455,28.172471996317324,85.4603873529315,100.0,100.0,78.67768595041323,48.55703160787906,50.66666666666666,nan,nan,13.054830287206265,43.22095972343529,28.432933087817503
BDMAP_O0000259,93.53559731080848,81.15614683984437,98.99991183914298,85.52180066303485,83.24746846686801,66.8751260843252,92.85714285714286,92.99552906110281,15.536938309215536,92.04915835367488,100.0,100.0,82.97872340425533,80.35251425609124,79.36507936507937,nan,nan,nan,37.800868201601126,36.93247340083182
BDMAP_O0000021,98.61179288546968,85.89426381886025,99.1811196764343,69.49767643990496,98.57142857142858,39.32203389830509,92.98245614035088,89.83666061705989,52.303970086880014,11.987280442175164,92.44823386114494,100.0,51.2139762019396,69.24715909090908,31.57894736842105,nan,nan,61.53846153846153,16.10376731456927,3.213548976662294
BDMAP_O0000032,97.68500948766604,51.22711480794446,98.88496056567854,76.01484130531962,100.0,nan,95.49330085261876,63.41463414634146,71.51335311572701,95.74362908037159,90.41095890410958,94.21965317919076,92.36234458259325,76.33512983831456,49.808917197452224,nan,nan,76.71433044567372,35.241588263434856,22.82553850988598
BDMAP_O0000036,73.16062856261732,91.19994338044802,94.04388714733541,73.25603497433949,33.80094996133878,nan,59.59150981177414,64.16666666666666,27.53036437246964,59.50949747535464,45.39877300613497,74.84551072337332,41.95804195804196,5.9701492537313445,64.51612903225806,nan,nan,nan,69.06975810694847,27.365425228181163
BDMAP_O0000058,87.04209575842086,98.98679720269155,98.9079084939245,94.93464705530765,36.97248278874352,73.25581395348838,63.88888888888889,89.55223880597015,84.44189506063891,89.92805755395683,100.0,98.43749999999999,91.62011173184356,31.2331359736058,85.01026694045174,nan,nan,nan,77.30679533574587,51.34812709859457
BDMAP_O0000003,97.11473103636796,96.37292275019911,95.13899658365634,70.76784393781317,75.01000453538937,70.32967032967034,72.07920792079209,58.131487889273345,18.204713077891707,76.67145608510899,99.37106918238993,92.21236787753615,59.0412111017662,28.235294117647058,37.50000000000001,nan,nan,0.0,44.909546616373426,42.78504684221473
BDMAP_O0000031,92.9356657578002,96.57239771986539,94.30678916833725,77.29975372586946,82.08375305799395,82.14285714285715,61.64383561643836,78.01592161665646,65.4275092936803,70.15652975483505,100.0,97.67441860465117,59.05511811023623,84.6153846153846,90.11576135351737,nan,nan,84.72222222222221,60.183102384469464,28.11985720243858
BDMAP_O0000010,95.68170882095912,62.72546852185105,90.44098878023564,30.450849636532713,77.39307535641548,96.3380281690141,91.55313351498637,84.13926499032883,48.720242190725195,79.17799939558779,99.15966386554621,94.0,86.84210526315789,78.57142857142858,69.04761904761904,nan,nan,0.0,38.90012497662733,28.787530357333225
BDMAP_O0000065,91.89463039929173,94.3957503320053,98.44938215970134,58.67454622203462,51.338582677165356,34.26679542005794,87.50000000000001,57.89473684210525,24.000000000000004,82.08262839054738,65.85123309466987,95.94517418617933,62.337662337662344,69.980879541109,91.1764705882353,nan,nan,24.193548387096776,22.20015865683931,15.126411936994383
BDMAP_O0000012,96.44077599690803,17.255735377213114,99.77296181630547,82.21125430278659,100.0,30.303030303030305,75.34775888717155,70.12987012987013,38.22930603222616,71.16962559870827,96.85767097966728,90.9236957951728,47.47474747474747,80.4874852575023,13.793103448275861,nan,nan,70.0,2.728171514253788,0.8097648109556415
BDMAP_O0000049,80.57479142445513,86.67849486212761,86.29630440014878,4.426559356136821,85.9731511787866,0.0,nan,8.16326530612245,7.894736842105263,10.824047998040898,60.99290780141844,70.85714285714285,nan,nan,30.207305034550842,nan,nan,nan,39.23237694240164,32.16825304159683
BDMAP_O0000046,59.820672316829885,86.98504514672686,98.25091977828453,nan,86.71845348042814,nan,89.07563025210084,68.85245901639345,27.870967741935488,3.9260969976905304,73.31389698736638,83.44370860927152,29.036761284318292,45.070422535211264,61.30790190735694,nan,nan,nan,57.06636699356439,7.148554760806319
BDMAP_O0000014,96.70252514843519,25.73773354286712,98.98748099505063,73.82234484167354,97.34939759036145,80.18197327267558,74.99999999999999,74.3362831858407,41.536189069423926,68.37688151948626,85.72902693220514,87.56756756756758,72.06626783248966,65.54934823091247,52.643051771117165,nan,nan,nan,12.026937164984624,39.45596116279283
BDMAP_O0000035,86.21780071661124,90.26629935720845,92.23265294073173,86.86690328033009,50.297619047619044,3.015075376884422,70.58823529411764,88.67924528301886,55.37873965626989,84.95040531695282,78.30687830687832,91.86046511627907,73.99376206742907,62.727272727272734,42.093541202672604,nan,nan,nan,11.005317801975183,10.810603455736679
BDMAP_O0000017,91.87837924649308,94.1073031886952,97.16563534832517,44.43434478519425,61.57205240174674,89.85507246376811,87.21567552754178,95.90878604963112,40.69862853123901,65.189097425257,98.18181818181819,99.5850622406639,72.8476821192053,75.45200646773482,80.61068702290076,nan,nan,47.053993019913776,41.81034648657456,3.6739061920973612
BDMAP_O0000038,96.51346974204631,94.88359124494632,98.97472924187726,73.69630323666966,77.44726678550208,80.0,73.46811171321383,45.60847608674127,66.71320738252105,74.12351759445274,89.31116389548694,86.37752236796067,44.72049689440994,47.11842938568714,60.56446637877853,nan,nan,nan,50.22055796512323,46.911647242745005
BDMAP_O0000018,71.67212264771813,8.850336175904653,96.78443826915442,82.99181691171579,99.29577464788733,98.24561403508771,64.70588235294117,29.78723404255319,65.80493537015276,68.29880728185813,86.24562313578006,91.0353034510115,40.61538461538461,56.245795021305234,56.33802816901407,nan,nan,50.020513662098956,13.493975903614459,18.599121000445866
BDMAP_O0000019,93.37717176852766,99.18847047036988,100.0,48.76190476190476,95.47521480727356,14.906832298136646,nan,68.72097931616717,42.8210342271803,76.7869341769225,94.71585244267199,100.0,63.940568685017276,nan,78.10590631364562,3.099255484656229,nan,nan,38.524067975456965,9.94436306936307
BDMAP_O0000048,85.56323205468802,11.810695272625575,97.89141490281212,29.029576743750795,33.50629998178717,nan,59.75042818693418,66.9485866904073,28.9586305278174,70.17511671049682,94.0827260002896,89.78854274388142,16.924328722538647,44.19675308941119,75.71072319201994,nan,nan,nan,17.893280932188784,17.57189636236527
