case_name,large_nsd_12,large_nsd_10,large_nsd_11,large_nsd_13,large_nsd_17,small_nsd_8,small_nsd_2,small_nsd_3,small_nsd_5,small_nsd_7,vessel_cldice_1,vessel_cldice_9,vessel_cldice_15,vessel_cldice_20,vessel_cldice_21,nonpdac_nsd_24,nonpdac_nsd_25,pdac_nsd_23,tubular_cldice_6,tubular_cldice_16
BDMAP_O0000064,92.72559012193817,92.52110799573934,97.73755656108597,70.4380821785479,74.62121212121212,0.0,90.0,70.87475149105367,65.88709677419355,91.67972645676022,100.0,100.0,84.65417867435158,55.365344467640924,82.89703315881327,nan,nan,68.09838472834068,29.973013493253376,33.916130050983
BDMAP_O0000028,95.69476584698518,92.70388881535911,88.88330481121245,47.236932501288145,80.60453400503779,nan,0.0,20.8955223880597,7.614213197969542,38.0693405846363,95.61474933116205,86.13138686131386,nan,46.296296296296305,80.64516129032258,nan,nan,74.57627118644068,19.659735349716446,nan
BDMAP_O0000258,97.82534192164853,89.30094104897348,98.89078498293516,73.28680245007982,89.83964025114544,nan,82.7893175074184,78.12500000000001,47.02391046294726,85.05246943294503,100.0,100.0,79.7567332754127,42.414672658812094,48.64864864864865,nan,nan,13.644524236983843,40.93897433620818,34.26396630407061
BDMAP_O0000021,98.90611763346229,88.79198600061571,99.00696553472228,71.42438398041662,98.18733002320415,45.80838323353293,86.92086920869208,88.18244644091222,53.619923278329175,11.247652024351055,90.09586484908053,100.0,60.8826247689464,81.51522416686646,52.565707133917385,nan,nan,100.0,16.662244627222076,3.065301007371897
BDMAP_O0000036,83.63416855670926,89.97429305912597,95.72021718300863,57.521147480691425,23.298029297080834,nan,nan,38.37638376383764,nan,56.65476797552269,35.294117647058826,74.28571428571429,nan,31.16883116883117,83.33333333333333,nan,nan,nan,69.0160640838816,31.035284698526468
BDMAP_O0000032,98.67881005453293,64.0412272291467,99.2380340488578,73.67509663044189,84.59657701711491,0.0,100.0,63.41463414634146,68.60938772952309,88.31823817429131,91.55555555555556,94.21965317919076,84.68619246861925,64.58128078817734,69.470559129144,nan,nan,82.38805970149254,39.20559697900063,21.718997452317016
BDMAP_O0000058,81.17023169389581,98.58651122090983,98.74480453331269,95.65173427915794,40.158240357419736,73.25581395348838,66.27696211709262,98.76543209876543,86.17676867697254,88.01188645309283,100.0,100.0,91.19656974407074,25.471329108972856,83.37675872850443,nan,nan,nan,78.41928489434973,57.543777589382294
BDMAP_O0000030,79.39406700494366,99.64243146603098,41.14349985940576,25.423431128487863,55.54802337088631,46.14455891822279,nan,nan,14.82035928143713,36.361611286430296,97.33333333333333,69.92254478803288,40.0,26.506024096385545,nan,nan,nan,0.0,41.4366965180612,1.6541070889284688
BDMAP_O0000029,98.04756941507613,99.6923076923077,99.95678478824547,88.16059349770893,80.85252833157156,9.230769230769232,79.32903225806452,42.553191489361694,45.49110446224625,75.49444417654637,96.36363636363636,96.00000000000001,43.98104265402842,46.25,44.6096654275093,nan,nan,nan,60.54334526056563,9.33447892608562
BDMAP_O0000003,97.63830813926165,95.16911827403129,93.49636743752328,45.23773949222477,78.26086956521739,70.32967032967034,90.32258064516128,57.97101449275361,41.53846153846153,79.95992834645,99.37106918238993,94.40993788819877,61.589403973509924,51.409244644870356,48.74048037492677,nan,nan,0.0,48.502139800285306,43.66099753251587
BDMAP_O0000031,96.19987049302667,96.80607641583593,92.60878556024932,74.26231285344056,83.30737205811548,98.46153846153847,62.9585798816568,77.48260594560405,63.86861313868613,78.26474636065828,100.0,97.97101449275362,64.87632508833923,95.83915107511868,77.7619724988146,nan,nan,95.96774193548387,63.24923527436436,28.93944030874036
