case_name,large_nsd_12,large_nsd_10,large_nsd_11,large_nsd_13,large_nsd_17,small_nsd_8,small_nsd_2,small_nsd_3,small_nsd_5,small_nsd_7,vessel_cldice_1,vessel_cldice_9,vessel_cldice_15,vessel_cldice_20,vessel_cldice_21,nonpdac_nsd_24,nonpdac_nsd_25,pdac_nsd_23,tubular_cldice_6,tubular_cldice_16
BDMAP_O0000049,94.23694457736241,92.32106883207118,72.55248857220295,6.28212450028555,91.45582178647058,32.99798792756539,nan,31.727078891257992,nan,10.181257231006557,58.333333333333336,67.62482795965795,nan,nan,nan,nan,nan,nan,62.96386616218742,10.481276855571462
BDMAP_O0000021,98.2791726862096,86.67324740995772,94.95346586675194,8.010728654447922,98.98648648648648,2.631578947368421,nan,14.417613636363638,0.0,28.334345274235982,99.02606834339882,71.3312693498452,0.0,nan,nan,nan,nan,nan,7.824283022154654,6.993176591711254
BDMAP_O0000258,96.64293478299966,79.34777365044143,96.67655898199733,70.766046478681,89.40926024481108,20.785219399538107,51.548946716232955,12.785388127853883,16.433408577878104,69.54228406843183,98.57142857142858,89.62132366821459,nan,0.0,0.0,nan,nan,0.0,48.12939293378546,33.12111289166067
BDMAP_O0000259,97.82102494480898,85.50704949521177,94.44028113848904,61.36311994835191,71.79695581498449,48.91062694530903,nan,nan,8.94854586129754,46.602651080263016,100.0,85.67164179104478,9.6,25.66429034348672,2.371541501976284,nan,nan,nan,31.26879649565457,19.619282279537416
BDMAP_O0000058,62.85030296948373,74.32508049246074,60.991040902092706,27.742760965891527,5.225272194230089,65.88759042849193,28.08660035108251,0.0,34.951798523113794,21.834788780201812,100.0,69.40639269406392,22.14111922141119,24.054351817847962,nan,nan,nan,nan,67.30511671046528,40.10994625606637
BDMAP_O0000059,81.68605956224158,94.13445316059752,97.97716775991218,29.051424374004064,80.46850207060834,91.68720898384005,nan,1.8867924528301887,4.768454837230627,38.102680315699,96.03778535817369,50.450450450450454,nan,23.03062025647736,nan,nan,nan,nan,28.300479265423,46.231126255801655
BDMAP_O0000018,77.08728785094077,nan,nan,nan,68.7669376693767,nan,nan,nan,nan,nan,0.0,17.59133964817321,nan,nan,nan,nan,nan,nan,0.29955067398901647,0.2760397497239603
BDMAP_O0000029,97.4420274327471,98.5038659083863,99.14915944240488,32.2245621096361,74.56184783709857,84.65116279069768,0.0,15.456674473067917,3.330249768732655,39.89457444073027,96.5034965034965,79.67806841046277,6.593406593406594,22.762508809020435,nan,nan,nan,12.307692307692307,43.11339446385326,9.27149071080521
BDMAP_O0000003,95.13564148308643,93.89845552111741,94.08385790317718,40.36288152533252,94.86381654660927,62.84678656071379,27.884302892427687,nan,10.639777468706537,38.236960752913355,99.37106918238993,90.86555516140476,nan,15.75673807878369,3.3057851239669422,nan,nan,0.0,46.866832184278515,36.66565333621354
BDMAP_O0000016,98.00148774419448,95.785869328772,98.89119972623406,41.99808361156332,76.44372686997582,26.08695652173913,0.0,0.0,nan,28.323955238035026,80.18433179723502,57.22994173016585,nan,nan,nan,nan,nan,nan,41.33576154500013,9.278877103511409
BDMAP_O0000023,87.26434873058597,34.951324489823634,36.31866473206026,nan,63.021251734462865,nan,0.0,1.520912547528517,nan,nan,68.25893154148093,63.32695984703632,nan,nan,nan,nan,nan,nan,5.428216571810726,7.194477957997744
BDMAP_O0000014,71.52064225516453,35.2585337750252,89.56927240439482,nan,88.283527696793,0.0,nan,nan,nan,nan,nan,15.72052401746725,nan,nan,nan,nan,nan,nan,5.532789585337251,20.70367474589523
BDMAP_O0000096,98.8391972676926,97.13736191179896,95.16232295260761,17.50031072994904,73.01587301587301,14.045559546090683,37.87341772151899,48.199045277014314,2.632088252370815,25.250501002004004,87.20446546023393,93.38811053758911,5.521472392638037,0.0,nan,nan,nan,83.7037037037037,49.073936946541245,11.601536803288559
BDMAP_O0000012,94.3666150211594,55.95613921515719,98.15321438111881,21.50718482934059,73.61731663928278,nan,nan,8.61244019138756,nan,3.681626928471248,94.97206703910615,67.67466110531804,nan,3.8684719535783363,nan,nan,nan,18.274111675126907,5.745448780299042,3.3062346372071048
BDMAP_O0000046,94.59068567505042,81.91881918819188,83.75950123067261,13.938512671375156,95.39877300613496,nan,0.0,nan,11.414982164090368,0.0,60.54893263099529,48.16053511705686,nan,nan,nan,nan,nan,nan,33.640379259572576,19.194111437393524
BDMAP_O0000038,97.86678793579763,95.80428630356782,96.4382930144714,27.946877171078473,81.68921395265471,85.25943396226414,nan,18.918918918918916,0.0,0.0,81.87346219084588,58.048810175887034,nan,nan,nan,nan,nan,nan,52.224122004760645,17.432991529618942
BDMAP_O0000019,92.72760157853018,99.1477432869165,99.11197090854064,16.609836008941116,94.13124337440945,nan,26.76579925650558,66.0725929145838,6.994700984102953,17.543859649122805,90.66392683237396,94.69541437764235,nan,nan,nan,0.0,nan,nan,35.5793035398532,2.0432432432432432
